nrCellIdentity,availPrbDl,usedPrbDl
c1/B2,273,0
c1/B13,75,75
c1/N77,100,0
c2/B2,273,0
c2/B13,100,0
c2/N77,273,273
c3/B2,100,0
c3/B13,75,75
c3/N77,100,100
c4/B2,273,0
c4/B13,100,0
c4/N77,75,0
c5/B2,75,75
c5/B13,75,0
c5/N77,273,174
c6/B2,273,273
c6/B13,100,0
c6/N77,100,0
c7/B2,273,0
c7/B13,100,100
c7/N77,75,75
c8/B2,100,100
c8/B13,273,273
c8/N77,100,100
c9/B2,75,75
c9/B13,75,75
c9/N77,75,75
c10/B2,75,0
c10/B13,273,160
c10/N77,273,155
c11/B2,100,0
c11/B13,75,0
c11/N77,273,206
c12/B2,100,0
c12/B13,273,0
c12/N77,100,0
c13/B2,75,75
c13/B13,75,50
c13/N77,273,273
