average_utilization,elapsed_time(s),,,
26.48%,0.453,,,
28.01%,0.449,,,
22.47%,0.418,,,
25.60%,0.416,,,
30.44%,0.439,,,
28.94%,0.428,,,
31.31%,0.42,,,
31.24%,0.389,,,
33.45%,0.391,,,
22.47%,0.409,,,
27.61%,0.406,,,
22.47%,0.469,,,
31.84%,0.374,,,
31.84%,0.365,,,
25.60%,0.469,,,
33.45%,0.379,,,
27.61%,0.421,,,
31.24%,0.405,,,
33.13%,0.377,,,
30.44%,0.411,,,
29.34%,0.414,,,
33.45%,0.396,,,
31.24%,0.463,,,
22.12%,0.435,,,
27.61%,0.415,,,
33.45%,0.391,,,
30.44%,0.434,,,
22.47%,0.502,,,
28.01%,0.402,,,
33.45%,0.407,,,
30.44%,0.372,,,
33.45%,0.378,,,
33.45%,0.372,,,
33.13%,0.398,,,
28.49%,0.434,,,
33.45%,0.369,,,
26.48%,0.413,,,
26.33%,0.417,,,
25.60%,0.451,,,
23.85%,0.431,,,
33.45%,0.365,,,
28.49%,0.456,,,
23.85%,0.452,,,
22.12%,0.437,,,
27.61%,0.401,,,
28.94%,0.429,,,
31.84%,0.391,,,
30.44%,0.367,,,
33.45%,0.383,,,
26.48%,0.414,,,
26.35%,0.396,,,
31.24%,0.419,,,
31.24%,0.404,,,
31.24%,0.368,,,
31.24%,0.427,,,
31.24%,0.39,,,
33.45%,0.381,,,
27.80%,0.428,,,
33.45%,0.367,,,
31.24%,0.385,,,
28.24%,0.429,,,
28.94%,0.404,,,
31.24%,0.402,,,
31.84%,0.379,,,
28.01%,0.408,,,
28.94%,0.386,,,
31.24%,0.421,,,
31.24%,0.409,,,
27.61%,0.411,,,
33.45%,0.409,,,
33.13%,0.395,,,
33.45%,0.378,,,
33.45%,0.381,,,
33.13%,0.399,,,
27.61%,0.416,,,
33.13%,0.376,,,
33.45%,0.38,,,
33.45%,0.368,,,
31.24%,0.378,,,
30.29%,0.437,,,
27.61%,0.426,,,
31.24%,0.38,,,
30.44%,0.389,,,
28.01%,0.363,,,
28.01%,0.412,,,
31.24%,0.408,,,
33.45%,0.365,,,
30.49%,0.383,,,
31.24%,0.398,,,
31.24%,0.39,,,
26.35%,0.43,,,
25.60%,0.414,,,
25.60%,0.46,,,
33.45%,0.386,,,
26.48%,0.432,,,
33.45%,0.424,,,
31.24%,0.369,,,
25.60%,0.464,,,
31.84%,0.361,,,
25.60%,0.417,,,
30.44%,0.419,,,
26.89%,0.397,,,
28.94%,0.398,,,
31.24%,0.395,,,
31.24%,0.375,,,
31.24%,0.44,,,
33.45%,0.345,,,
32.90%,0.38,,,
24.66%,0.424,,,
22.47%,0.476,,,
28.94%,0.412,,,
27.61%,0.411,,,
31.24%,0.391,,,
33.45%,0.359,,,
31.24%,0.441,,,
28.94%,0.41,,,
23.85%,0.49,,,
26.35%,0.396,,,
31.84%,0.369,,,
33.45%,0.412,,,
31.24%,0.376,,,
28.01%,0.41,,,
33.13%,0.398,,,
30.44%,0.381,,,
30.44%,0.393,,,
33.45%,0.376,,,
31.24%,0.379,,,
25.19%,0.416,,,
31.84%,0.376,,,
33.45%,0.383,,,
33.13%,0.398,,,
33.45%,0.373,,,
25.60%,0.444,,,
22.47%,0.455,,,
33.45%,0.392,,,
33.13%,0.411,,,
28.01%,0.394,,,
30.44%,0.381,,,
33.45%,0.376,,,
23.85%,0.416,,,
23.85%,0.43,,,
33.45%,0.357,,,
30.44%,0.412,,,
33.45%,0.391,,,
33.45%,0.38,,,
31.24%,0.391,,,
30.44%,0.399,,,
33.13%,0.415,,,
33.45%,0.417,,,
28.94%,0.397,,,
26.35%,0.409,,,
31.84%,0.371,,,
33.45%,0.377,,,
23.85%,0.425,,,
33.13%,0.418,,,
28.94%,0.388,,,
31.84%,0.369,,,
33.45%,0.364,,,
33.45%,0.388,,,
33.45%,0.393,,,
25.11%,0.428,,,
31.24%,0.4,,,
33.45%,0.4,,,
24.54%,0.423,,,
33.45%,0.38,,,
25.60%,0.464,,,
22.47%,0.441,,,
33.45%,0.394,,,
33.45%,0.405,,,
22.12%,0.459,,,
33.45%,0.396,,,
26.48%,0.433,,,
30.44%,0.447,,,
27.61%,0.4,,,
26.48%,0.395,,,
31.24%,0.379,,,
30.44%,0.4,,,
33.13%,0.4,,,
33.45%,0.378,,,
26.70%,0.453,,,
31.84%,0.367,,,
28.94%,0.407,,,
31.84%,0.364,,,
26.48%,0.43,,,
23.85%,0.416,,,
22.47%,0.484,,,
22.47%,0.435,,,
30.44%,0.415,,,
33.45%,0.363,,,
30.44%,0.418,,,
25.19%,0.408,,,
33.13%,0.381,,,
33.45%,0.401,,,
33.45%,0.377,,,
22.47%,0.47,,,
31.24%,0.392,,,
28.94%,0.422,,,
31.24%,0.397,,,
31.24%,0.397,,,
25.60%,0.4,,,
23.85%,0.424,,,
26.35%,0.409,,,
30.10%,0.4,,,
33.45%,0.358,,,
25.11%,0.396,,,
30.44%,0.41,,,
25.60%,0.462,,,
23.85%,0.428,,,
28.94%,0.391,,,
33.13%,0.422,,,
28.01%,0.352,,,
28.94%,0.391,,,
30.44%,0.416,,,
25.60%,0.408,,,
25.60%,0.419,,,
33.45%,0.381,,,
27.61%,0.42,,,
33.13%,0.419,,,
31.24%,0.37,,,
33.13%,0.422,,,
31.24%,0.424,,,
27.61%,0.397,,,
31.24%,0.433,,,
33.45%,0.396,,,
30.44%,0.439,,,
28.01%,0.41,,,
31.84%,0.36,,,
25.60%,0.422,,,
33.45%,0.391,,,
25.60%,0.405,,,
33.45%,0.405,,,
33.45%,0.374,,,
33.45%,0.402,,,
33.45%,0.383,,,
22.47%,0.482,,,
33.45%,0.391,,,
22.47%,0.47,,,
31.24%,0.407,,,
33.45%,0.369,,,
33.45%,0.417,,,
26.48%,0.438,,,
33.45%,0.358,,,
28.01%,0.382,,,
28.01%,0.39,,,
33.13%,0.408,,,
31.24%,0.401,,,
31.24%,0.4,,,
26.48%,0.418,,,
28.94%,0.396,,,
31.24%,0.4,,,
28.01%,0.39,,,
25.60%,0.453,,,
33.13%,0.404,,,
33.45%,0.391,,,
28.01%,0.403,,,
30.44%,0.398,,,
30.44%,0.419,,,
30.44%,0.404,,,
33.45%,0.375,,,
31.24%,0.404,,,
33.13%,0.407,,,
25.60%,0.423,,,
31.24%,0.376,,,
31.84%,0.383,,,
33.13%,0.434,,,
30.44%,0.399,,,
31.24%,0.384,,,
31.24%,0.383,,,
27.61%,0.415,,,
31.24%,0.436,,,
29.28%,0.4,,,
33.45%,0.377,,,
25.60%,0.464,,,
33.13%,0.374,,,
31.24%,0.394,,,
33.13%,0.392,,,
25.60%,0.403,,,
31.24%,0.39,,,
33.45%,0.395,,,
25.60%,0.411,,,
31.24%,0.397,,,
23.85%,0.415,,,
26.48%,0.428,,,
30.44%,0.375,,,
22.47%,0.408,,,
27.61%,0.421,,,
26.35%,0.392,,,
25.60%,0.468,,,
31.24%,0.409,,,
27.61%,0.403,,,
26.33%,0.423,,,
31.84%,0.361,,,
30.44%,0.408,,,
30.44%,0.431,,,
30.44%,0.369,,,
33.45%,0.368,,,
33.45%,0.369,,,
30.44%,0.405,,,
26.48%,0.445,,,
31.84%,0.386,,,
31.24%,0.387,,,
31.84%,0.377,,,
33.13%,0.389,,,
31.24%,0.422,,,
31.24%,0.378,,,
33.45%,0.36,,,
31.84%,0.363,,,
31.24%,0.382,,,
33.45%,0.388,,,
23.85%,0.527,,,
25.60%,0.446,,,
30.44%,0.4,,,
22.47%,0.449,,,
30.44%,0.37,,,
23.39%,0.433,,,
22.47%,0.38,,,
31.24%,0.356,,,
25.19%,0.384,,,
31.24%,0.357,,,
22.47%,0.482,,,
33.45%,0.371,,,
28.94%,0.412,,,
31.24%,0.414,,,
33.13%,0.407,,,
22.47%,0.47,,,
33.45%,0.388,,,
31.24%,0.442,,,
27.61%,0.528,,,
33.45%,0.399,,,
33.45%,0.389,,,
31.24%,0.426,,,
28.94%,0.427,,,
33.45%,0.404,,,
31.24%,0.365,,,
23.85%,0.386,,,
23.85%,0.406,,,
33.45%,0.36,,,
33.45%,0.351,,,
26.86%,0.386,,,
33.13%,0.378,,,
31.24%,0.362,,,
31.24%,0.386,,,
33.45%,0.417,,,
28.94%,0.395,,,
31.84%,0.359,,,
31.24%,0.361,,,
33.13%,0.38,,,
33.45%,0.356,,,
28.94%,0.368,,,
23.85%,0.385,,,
31.84%,0.339,,,
28.01%,0.366,,,
23.85%,0.39,,,
31.24%,0.351,,,
26.33%,0.377,,,
25.11%,0.37,,,
31.24%,0.354,,,
31.15%,0.343,,,
30.44%,0.364,,,
33.45%,0.366,,,
31.84%,0.338,,,
31.24%,0.349,,,
30.44%,0.347,,,
31.24%,0.362,,,
33.45%,0.353,,,
31.24%,0.362,,,
31.24%,0.372,,,
33.45%,0.405,,,
33.13%,0.392,,,
31.24%,0.364,,,
33.45%,0.374,,,
33.45%,0.366,,,
26.48%,0.396,,,
33.45%,0.354,,,
27.61%,0.387,,,
33.45%,0.365,,,
33.45%,0.342,,,
31.24%,0.428,,,
33.45%,0.389,,,
33.13%,0.377,,,
26.33%,0.375,,,
33.45%,0.346,,,
33.45%,0.336,,,
