Cell_Name,Total_PRB,slice_capacity_embb,slice_capacity_urllc,slice_capacity_mmtc,slice_load_embb,slice_load_urllc,slice_load_mmtc,slice_utilization_embb,slice_utilization_urllc,slice_utilization_mmtc
c1/B2,273,85,67,91,6,24,0,0.0659341,0.263736,0
c1/B13,75,25,19,1,0,6,24,0,0.24,0.96
c1/N77,100,33,33,33,0,0,0,0,0,0
c2/B2,273,91,91,91,0,0,0,0,0,0
c2/B13,100,33,33,33,0,0,0,0,0,0
c2/N77,273,30,75,10,61,16,81,0.67033,0.175824,0.89011
c3/B2,100,33,33,33,0,0,0,0,0,0
c3/B13,75,25,25,25,0,0,0,0,0,0
c3/N77,100,33,33,33,0,0,0,0,0,0
c4/B2,273,74,91,25,17,0,66,0.186813,0,0.725275
c4/B13,100,26,21,7,7,12,26,0.212121,0.363636,0.787879
c4/N77,75,25,25,25,0,0,0,0,0,0
c5/B2,75,25,25,25,0,0,0,0,0,0
c5/B13,75,19,25,1,6,0,24,0.24,0,0.96
c5/N77,273,72,91,19,19,0,72,0.208791,0,0.791209
c6/B2,273,91,29,91,0,62,0,0,0.681319,0
c6/B13,100,33,33,33,0,0,0,0,0,0
c6/N77,100,33,33,33,0,0,0,0,0,0
c7/B2,273,91,91,91,0,0,0,0,0,0
c7/B13,100,33,33,33,0,0,0,0,0,0
c7/N77,75,25,25,25,0,0,0,0,0,0
c8/B2,100,33,33,33,0,0,0,0,0,0
c8/B13,273,91,1,91,0,90,0,0,0.989011,0
c8/N77,100,33,33,33,0,0,0,0,0,0
c9/B2,75,25,25,25,0,0,0,0,0,0
c9/B13,75,25,25,25,0,0,0,0,0,0
c9/N77,75,25,25,25,0,0,0,0,0,0
c10/B2,75,25,25,25,0,0,0,0,0,0
c10/B13,273,0,37,55,91,54,36,1,0.593407,0.395604
c10/N77,273,23,78,7,68,13,84,0.747253,0.142857,0.923077
c11/B2,100,33,33,33,0,0,0,0,0,0
c11/B13,75,25,25,25,0,0,0,0,0,0
c11/N77,273,91,91,91,0,0,0,0,0,0
c12/B2,100,33,33,33,0,0,0,0,0,0
c12/B13,273,82,91,55,9,0,36,0.0989011,0,0.395604
c12/N77,100,33,33,33,0,0,0,0,0,0
c13/B2,75,25,25,25,0,0,0,0,0,0
c13/B13,75,25,25,25,0,0,0,0,0,0
c13/N77,273,75,30,91,16,61,0,0.175824,0.67033,0
