UE_Name,Serving_Cell_Name,slice_prb_used_embb,slice_prb_used_urllc,slice_prb_used_mmtc,
Train passenger 2,c13/N77,16,61,,
Waiting passenger 3,c2/N77,9,16,33,
Waiting passenger 9,c10/N77,,,56,
Waiting passenger 1,c10/B13,,9,36,
Waiting passenger 5,c10/N77,59,,,
Car-3,c5/N77,19,,72,
Waiting passenger 2,c10/B13,,45,,
Waiting passenger 6,c2/N77,52,,,
Train passenger 1,c12/B13,9,,36,
Pedestrian-2,c6/B2,,62,,
Train passenger 3,c4/B13,7,12,26,
Waiting passenger 8,c2/N77,,,48,
Pedestrian-1,c1/B13,,6,24,
Car-4,c1/B2,6,24,,
Car-2,c5/B13,6,,24,
Waiting passenger 4,c8/B13,,45,,
Waiting passenger 7,c10/N77,9,13,28,
Waiting passenger 10,c8/B13,,45,,
Car-1,c10/B13,91,,,
Pedestrian-3,c4/B2,17,,66,

